fnkCourseId	fldCRN	fnkTeacherNetId	fldMaxStudents	fldNumStudents	fldSection	fldType	fldStart	fldStop	fldDays	fldBuilding	fldRoom
13565	92357	tichitte	50	20	A	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	004
13565	93380	tichitte	2	0	ZRA	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	004
13601	90125	jleonard	64	63	A	LEC	13:10:00	14:00:00	M       	KALKIN	001
13601	90126	jleonard	64	62	B	LEC	13:10:00	14:00:00	  W     	KALKIN	001
15543	91424	djonatha	19	19	B	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	322
15543	92650	djonatha	1	1	ZRB	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	322
15706	92941	rvandenb	50	50	E	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	003
15706	93362	rvandenb	2	0	ZRE	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	003
15709	92942	jpencak	51	51	A	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	002
15709	93364	jpencak	2	0	ZRA	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	002
15717	92357	tichitte	50	20	A	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	004
15717	93380	tichitte	2	0	ZRA	LEC	13:10:00	14:00:00	M  W  F 	KALKIN	004
15753	90125	jleonard	64	63	A	LEC	13:10:00	14:00:00	M       	KALKIN	001
15753	90126	jleonard	64	62	B	LEC	13:10:00	14:00:00	  W     	KALKIN	001
